Elapsed [0:00:03], Iteration [10/5000], D/loss_real: 0.0106, D/loss_fake: -0.0301, D/loss_cls: 3.3029, D/loss_gp: 0.2101, G/loss_fake: 0.0328, G/loss_rec: 0.6012, G/loss_cls: 3.3499
Elapsed [0:00:07], Iteration [20/5000], D/loss_real: -0.0206, D/loss_fake: -0.0424, D/loss_cls: 3.1014, D/loss_gp: 0.0042, G/loss_fake: 0.0432, G/loss_rec: 0.5482, G/loss_cls: 3.2255
Elapsed [0:00:10], Iteration [30/5000], D/loss_real: -0.1630, D/loss_fake: -0.0197, D/loss_cls: 2.5495, D/loss_gp: 0.0016, G/loss_fake: 0.0182, G/loss_rec: 0.5922, G/loss_cls: 2.9386
Elapsed [0:00:14], Iteration [40/5000], D/loss_real: -0.2658, D/loss_fake: 0.0087, D/loss_cls: 2.4747, D/loss_gp: 0.0019, G/loss_fake: -0.0078, G/loss_rec: 0.4906, G/loss_cls: 2.8081
Elapsed [0:00:18], Iteration [50/5000], D/loss_real: -0.3403, D/loss_fake: 0.0315, D/loss_cls: 2.7070, D/loss_gp: 0.0026, G/loss_fake: -0.0269, G/loss_rec: 0.4365, G/loss_cls: 2.7628
Elapsed [0:00:24], Iteration [60/5000], D/loss_real: -0.3853, D/loss_fake: 0.0499, D/loss_cls: 2.4681, D/loss_gp: 0.0021, G/loss_fake: -0.0428, G/loss_rec: 0.4337, G/loss_cls: 2.6751
Elapsed [0:00:30], Iteration [70/5000], D/loss_real: -0.3870, D/loss_fake: 0.0826, D/loss_cls: 2.5806, D/loss_gp: 0.0014, G/loss_fake: -0.0827, G/loss_rec: 0.3791, G/loss_cls: 2.7374
Elapsed [0:00:36], Iteration [80/5000], D/loss_real: -0.3342, D/loss_fake: 0.1714, D/loss_cls: 2.5260, D/loss_gp: 0.0003, G/loss_fake: -0.1729, G/loss_rec: 0.3810, G/loss_cls: 2.7510
Elapsed [0:00:39], Iteration [90/5000], D/loss_real: -0.3624, D/loss_fake: 0.2394, D/loss_cls: 2.5347, D/loss_gp: 0.0009, G/loss_fake: -0.2262, G/loss_rec: 0.3438, G/loss_cls: 2.6411
Elapsed [0:00:43], Iteration [100/5000], D/loss_real: -0.4208, D/loss_fake: 0.2617, D/loss_cls: 2.9936, D/loss_gp: 0.0005, G/loss_fake: -0.2497, G/loss_rec: 0.3638, G/loss_cls: 3.0175
Elapsed [0:00:46], Iteration [110/5000], D/loss_real: -0.4814, D/loss_fake: 0.3093, D/loss_cls: 2.4006, D/loss_gp: 0.0003, G/loss_fake: -0.3144, G/loss_rec: 0.3538, G/loss_cls: 2.4315
Elapsed [0:00:50], Iteration [120/5000], D/loss_real: -0.4107, D/loss_fake: 0.3947, D/loss_cls: 2.7064, D/loss_gp: 0.0002, G/loss_fake: -0.3626, G/loss_rec: 0.3275, G/loss_cls: 2.9278
Elapsed [0:00:53], Iteration [130/5000], D/loss_real: -0.4222, D/loss_fake: 0.3595, D/loss_cls: 2.3396, D/loss_gp: 0.0006, G/loss_fake: -0.3653, G/loss_rec: 0.3282, G/loss_cls: 2.3889
Elapsed [0:00:57], Iteration [140/5000], D/loss_real: -0.4401, D/loss_fake: 0.3778, D/loss_cls: 2.6532, D/loss_gp: 0.0011, G/loss_fake: -0.3596, G/loss_rec: 0.3224, G/loss_cls: 2.6851
Elapsed [0:01:01], Iteration [150/5000], D/loss_real: -0.4998, D/loss_fake: 0.4197, D/loss_cls: 2.9664, D/loss_gp: 0.0008, G/loss_fake: -0.4022, G/loss_rec: 0.3074, G/loss_cls: 2.6843
Elapsed [0:01:05], Iteration [160/5000], D/loss_real: -0.5217, D/loss_fake: 0.4112, D/loss_cls: 2.1757, D/loss_gp: 0.0008, G/loss_fake: -0.4079, G/loss_rec: 0.3277, G/loss_cls: 2.1155
